node_id,label,dominant_domain,color,structural_importance,Z_Math_Logic,Z_MMLU,Z_TruthfulQA,Z_RedTeaming
0,Moines + merc,RedTeaming,#34495e,4.044888496398926,4.2791360669984195,2.912166891576181,0.6575832800880862,6.342923833533506
1,atte + anca,MMLU,#3498db,3.054915189743042,14.652508925448567,23.040046056901712,22.936498623784853,17.48301354941313
2,the + pinch,MMLU,#3498db,2.958993434906006,7.776097266384587,12.354436184359455,11.515813731009748,6.485873142740801
3,alars + opard,Math_Logic,#e74c3c,2.834904432296753,9.96890074764549,9.428446417863537,6.534345012996657,6.587713584809108
4,lad + ugh,RedTeaming,#34495e,2.7653450965881348,10.393315378285632,6.7083987844554605,8.522266927746774,11.287833902207453
5,arya + ené,MMLU,#3498db,2.7227025032043457,-0.1875029251745999,0.36109515472094617,0.1498206238238703,-0.13365070770411344
6,this + ward,TruthfulQA,#2ecc71,2.6772687435150146,0.9387855267327317,1.6249157795119984,2.1753032079823633,0.15776081343340048
7,adero + egral,MMLU,#3498db,2.6464827060699463,9.5217086707129,12.705786451825858,12.234576923964426,10.144570140252185
8,nika + resi,RedTeaming,#34495e,2.6288554668426514,3.317086306809242,1.5015069014624014,1.7736721086178107,5.018988975971913
9,Armour + baugh,RedTeaming,#34495e,2.6164121627807617,2.8619780185160426,0.6893475416649161,1.4144037768548492,3.321516269269277
10,EntryPoint + chill,MMLU,#3498db,2.5911262035369873,1.276199558874989,4.268840223836807,3.7075996742687396,2.1821917659198093
11,permalink + edm,MMLU,#3498db,2.5722081661224365,8.312641247669271,10.03658454991959,7.156043451102456,7.200308998858644
12,loth + ello,TruthfulQA,#2ecc71,2.5409951210021973,-0.12314343622615058,2.0080074001181103,3.739289447341634,2.406541839990615
13,olls + Locale,RedTeaming,#34495e,2.5386064052581787,1.048722129193312,2.312209456871558,2.6311621672219276,5.7668805644881616
14,arte + Wagner,Math_Logic,#e74c3c,2.5220844745635986,6.8592645320984085,5.3893294855600535,4.782767857376559,6.323685348402612
15,cooper + UNDLE,TruthfulQA,#2ecc71,2.5130717754364014,-0.10931569409047896,0.3790805044889464,0.9383107930602582,0.13631753041695568
16,soever + vou,MMLU,#3498db,2.4986865520477295,0.08402467561299398,0.3208720751193569,-0.4172502257605291,-0.500332242687105
17,рач + atro,MMLU,#3498db,2.4912734031677246,4.680089034885064,5.332732370522364,4.540789474139837,4.065641581343485
18,werp + isman,Math_Logic,#e74c3c,2.4800047874450684,1.9352449296853607,1.2396946188700944,0.5356581458486669,0.2426131532277144
19,livé + amber,RedTeaming,#34495e,2.4772262573242188,5.786070908769974,6.440467072788691,6.318590642255741,8.493480249958063
20,ombo + Кра,Math_Logic,#e74c3c,2.4654147624969482,1.863723913247278,0.36745165455711265,0.9676775600263926,-0.21426877644845216
21,amongst + stal,Math_Logic,#e74c3c,2.4520087242126465,0.9580994855523535,0.5310837051913987,-0.4684208175560906,0.5011039157990514
22,zee + undermin,MMLU,#3498db,2.4464035034179688,1.3370314098143645,1.6481105600565236,1.117381354729563,0.08946294763646388
23,ogi + als,Math_Logic,#e74c3c,2.4234108924865723,3.5623712172180158,-0.05488644234603027,1.503583814412708,3.4099564830286386
24,Orc + gles,Math_Logic,#e74c3c,2.421175956726074,5.466593291938327,4.595841576538844,5.355795615100405,5.399224320301998
25,busters + uttle,RedTeaming,#34495e,2.4133729934692383,0.3357731400458102,-0.17202067249795197,-0.48614753898854435,0.4668164800776161
26,mutual + ixon,Math_Logic,#e74c3c,2.411306381225586,2.4472811518356288,0.5900124457448214,0.725685530233776,0.9630494409498863
27,tract + şans,TruthfulQA,#2ecc71,2.399716854095459,3.1435707701345987,2.499101731813121,4.611291787764287,2.8162631239256823
