concept_id,magnitude
0,1546.0253953533247
1,1373.4599510277621
2,1916.2597646676004
3,818.403743668925
4,520.7652102746069
5,677.4642078640172
6,509.4527190682711
7,486.1081289277645
8,473.0784713116009
9,580.8075261127669
10,643.6965065302793
11,670.8966759073082
12,1624.5129230250604
13,673.6407360853627
14,625.2472403724678
15,705.4418136012973
16,1266.259148182813
17,539.5649090041406
18,1080.0782346017659
19,657.6094835002441
20,862.6882373273838
21,955.9641711532604
22,577.6704564858228
23,450.883075956488
24,899.0816434072331
25,540.7257893006317
26,547.307187079452
27,441.8704957886366
28,616.0056751811644
29,511.5616618003696
30,515.7902981233783
31,615.6134128845297
32,1065.8380343522877
33,534.5128687960096
34,517.1251112350728
35,447.9292669876013
36,958.1119309719652
37,1080.3013509679586
38,519.7016016978305
39,390.3849461041391
40,557.6186844723998
41,998.2558626406826
42,406.2166026388295
43,554.8261120943353
44,455.1831753492588
45,434.51918460568413
46,480.3553484932054
47,648.4692469125148
48,448.28197217872366
49,580.9503278317861
50,528.1082321836147
51,895.5842864173464
52,549.1790452961577
53,702.2556746271439
54,1044.708552857628
55,449.9599909426179
56,435.64972289837897
57,509.44995364081115
58,422.9585570760537
59,812.2106741142925
60,502.19094846677035
61,541.6878717696527
62,495.876966570504
63,499.99842908850405
64,531.081514922902
65,422.3654256791342
66,662.3922017314471
67,517.3679232962895
68,952.7586031490937
69,445.8756594443694
70,558.3231533018406
71,1284.1505542788655
72,382.26476764376275
73,660.6145153553225
74,581.0888651311398
75,406.88305799663067
76,434.0761985947611
77,884.7412194609642
78,886.7997018243186
79,463.5439998139627
80,447.9203529553488
81,597.2955125807784
82,483.7535613719374
83,380.7071430417709
84,665.7031439375132
85,525.9072140180506
86,657.2388805425726
87,625.8995788660832
88,935.713124524802
89,639.4370612562634
90,560.4540776399663
91,780.8869136933936
92,604.9749877685681
93,667.8550237324089
94,643.9255571216345
95,432.9797731433064
96,459.06310785608366
97,457.89516141288914
98,558.6360492149834
99,474.46371670253575
100,402.7352877766825
101,429.0540709053166
102,616.613300917903
103,453.19686103612185
104,588.7673037737841
105,441.94822911615483
106,812.3671418664744
107,428.8609044631012
108,606.6606873262208
109,406.42582309106365
110,434.25575134251267
111,396.4484916124493
112,374.4872936748434
113,939.2124812102411
114,717.0740942710545
115,582.8132647390012
116,563.9582584220916
117,423.25668258196674
118,437.93993968865834
119,413.07246580999345
120,1012.6107033062726
121,638.7283904773649
122,403.042304694769
123,385.6034161329735
124,1070.729518767679
125,809.2451723311096
126,411.49629276350606
127,432.0186058054678
128,578.8708015915472
129,489.02123549825046
130,355.632346438244
131,561.9959276274312
132,407.07459539111005
133,392.97006390755996
134,495.4289026869228
135,991.4603027356789
136,492.0587192066014
137,487.3826302974485
138,430.752111654263
139,746.0186482309364
140,513.3936561597511
141,428.9226160570979
142,545.3555744659388
143,410.8628225098364
144,354.687207043753
145,681.5341466565151
146,451.8832576679997
147,377.2152841006173
148,622.2216299367137
149,948.1400934089907
150,366.1932483825367
151,728.4399842000566
152,468.3724178355187
