node_id,structural_label,dominant_domain,structural_importance (Singular Value),Z_TruthfulQA,Z_ETHICS,Z_MMLU,Z_Logic,Z_GPQA_PhD,Z_RedTeaming
0,Bris + among,MMLU,6.936075210571289,19.959735105777945,0.0,23.640546399212223,12.364813644288196,0.0,16.75787066601899
1,rau + int,TruthfulQA,6.758053302764893,6.215903520362797,0.0,2.889930481580176,3.7007716541138485,0.0,5.326452198692861
2,oftentimes + anyways,Logic,6.4266839027404785,1.3823126460917756,0.0,1.6211285564454436,6.050359240051125,0.0,5.060936742462399
3,ordering + ikon,MMLU,6.394288063049316,3.3316572276923058,0.0,5.732901612899395,1.1891847850452468,0.0,5.718621225192846
4,IoT + асп,MMLU,6.24855899810791,1.8708579860506902,0.0,3.0510800617372857,0.3735505553071891,0.0,2.048775397330957
5,sunshine + kah,RedTeaming,6.073487758636475,2.194420268325094,0.0,2.6544776596168793,2.043193705420201,0.0,7.245280022294989
6,mediana + Banks,TruthfulQA,5.9541015625,5.945432388174672,0.0,3.008774392547248,0.4692850180570983,0.0,0.8472786184509928
7,rend + Nis,RedTeaming,5.924269676208496,1.0373993458460757,0.0,2.5782211211366795,1.7411481138175924,0.0,6.160398937868825
8,totally + lies,RedTeaming,5.872790336608887,1.2752060050588507,0.0,1.5691076438309244,5.33280321148232,0.0,5.919194382423677
9,romantic + underwater,MMLU,5.847740650177002,1.4705913437356597,0.0,2.581745139947709,0.9357546980847261,0.0,0.7675497334991831
10,greatest + advent,TruthfulQA,5.811000823974609,3.5090574555698124,0.0,1.6974252836768677,1.9823726034005942,0.0,1.6514411865267855
11,subtle + neglect,TruthfulQA,5.743834495544434,2.58962709960819,0.0,1.8184618586882346,2.5180563812358834,0.0,1.4614459081858895
12,Include + typ,RedTeaming,5.696712017059326,1.8004322423260397,0.0,2.652715998690805,3.515560763211926,0.0,3.746186357143816
13,entirety + amongst,TruthfulQA,5.677643299102783,4.2952361789716615,0.0,2.566440657637837,3.6266659777207084,0.0,2.752050328308932
14,introduc + επο,MMLU,5.645751953125,1.2239823119013078,0.0,1.773388716139,1.6139270752275319,0.0,1.4425399638950533
15,margin + means,MMLU,5.634919166564941,5.161331956412869,0.0,9.700494529895552,2.770202002247286,0.0,4.421092951024364
16,biod + account,TruthfulQA,5.615026473999023,9.934108695070769,0.0,6.8962517498586156,5.90169107406774,0.0,0.7444478941532994
17,최고의 + Lant,MMLU,5.590390205383301,2.677596975581628,0.0,3.279887762339606,1.1006752095646612,0.0,1.0246924958172512
18,matters + spl,TruthfulQA,5.567166328430176,9.534687203116018,0.0,7.790792072489503,4.470792856462868,0.0,0.89914831713414
19,divers + arc,MMLU,5.550615310668945,1.1981278369823474,0.0,4.338515755837602,3.0139047858210235,0.0,0.808847244103065
20,representing + system,RedTeaming,5.52126932144165,2.757264494871935,0.0,3.2248838923082275,1.7633537462237645,0.0,5.736525747783677
21,direction + măr,RedTeaming,5.500270366668701,2.2873124728599366,0.0,1.8389721940672377,3.8233455465660784,0.0,6.047396408746884
22,diagnost + culprit,MMLU,5.456892490386963,2.014686601395306,0.0,6.660453384234808,5.136002029031087,0.0,1.5049833129125285
23,annot + mindful,RedTeaming,5.45371675491333,0.9381251543371706,0.0,2.1101078719237405,0.5561029246880604,0.0,4.009468149804045
24,Generalmente + capital,MMLU,5.4329705238342285,0.9509043590622724,0.0,2.0397462354909317,0.3422113198474326,0.0,1.7878820953018124
25,repeatable + Balas,TruthfulQA,5.415414333343506,4.838515488933907,0.0,3.7502675176378455,3.5247777968198184,0.0,1.6383169601136869
26,powerful + often,TruthfulQA,5.40274715423584,4.1061643261544365,0.0,3.3092856549636265,2.8107341322193484,0.0,1.3288540883151754
27,vigorous + har,Logic,5.379215240478516,1.3672959143264545,0.0,1.6346953768737877,4.328669442988312,0.0,0.3344798055789874
28,similarly + dangerous,RedTeaming,5.373457431793213,1.157579579669214,0.0,0.727073973337903,2.741642047033518,0.0,7.859706401020458
29,Mandi + άλλ,RedTeaming,5.3341474533081055,0.7507190921766145,0.0,1.1156554978828244,1.1124039067338438,0.0,1.201550886867659
30,unfamiliar + dissimilar,TruthfulQA,5.309224605560303,6.641624219301418,0.0,2.849959903690662,2.219687190204323,0.0,1.3035894017672767
31,ach + interrupted,MMLU,5.304023265838623,1.5200093755126527,0.0,1.549757621017405,1.5132558611169027,0.0,0.410573875979077
32,the + can,RedTeaming,5.289985179901123,2.2533867705107613,0.0,2.7295744425734942,2.1313238825968437,0.0,2.7753682527438146
33,дав + Jun,RedTeaming,5.288908004760742,1.4045582935383853,0.0,0.9289911819799459,1.5690928205603725,0.0,5.3331826216975875
34,Conse + energized,TruthfulQA,5.278900146484375,1.1548082627379812,0.0,0.9072857165201409,0.7199389046064867,0.0,0.1815585683541267
35,doi + hugely,RedTeaming,5.254453659057617,1.5737633003584544,0.0,2.589338456871418,4.024265775029387,0.0,5.2115296221598895
36,principalement + inite,MMLU,5.242948055267334,2.990654372002073,0.0,3.4605636404446165,1.0672499623112968,0.0,1.983017618615176
37,inexplic + apparently,MMLU,5.235265254974365,0.6566604971200846,0.0,1.1351398419177576,0.6363694608827485,0.0,0.5419552836395453
38,burl + rey,MMLU,5.198691368103027,5.304907232601989,0.0,6.216821052793086,2.3719304527829017,0.0,2.526245664252211
39,superl + lure,RedTeaming,5.182611465454102,4.037353299442932,0.0,3.647882960532148,3.7409604938572674,0.0,4.276419607138163
40,gaz + abilities,RedTeaming,5.179970741271973,3.019821794073937,0.0,1.5752207491060226,2.4541776813420917,0.0,3.934236650447232
41,nearby + saltwater,MMLU,5.169052600860596,3.3097580793631267,0.0,4.639907970740499,0.8693214097227407,0.0,3.2995373788673024
42,grey + heart,TruthfulQA,5.143198490142822,1.8454073915516938,0.0,1.4759099812131133,0.3929345604564815,0.0,1.339643083513202
43,demand + Spring,Logic,5.1373724937438965,1.2021803443550512,0.0,1.3186001605327597,3.43020416859645,0.0,0.3681633357663835
44,etc + thereby,TruthfulQA,5.133518695831299,2.886303313175586,0.0,1.5087698569368975,2.628090077453834,0.0,0.5303957158299443
45,favors + Produc,Logic,5.1255292892456055,0.6831379652584828,0.0,0.8667671141919667,1.6656701591918326,0.0,0.5237673795372361
46,punct + Berm,RedTeaming,5.100556373596191,0.7166576584557677,0.0,1.0016990631955032,0.21875042541324852,0.0,2.6486570799529763
47,chron + coveted,RedTeaming,5.089077949523926,0.8472943845520751,0.0,0.5479500212653602,-0.009093940873159744,0.0,1.149054472111273
48,sat + Sup,RedTeaming,5.0752716064453125,1.0244213446861585,0.0,1.0556156569223603,0.3548195724829809,0.0,2.175679011512662
49,orte + Will,Logic,5.053097248077393,0.4993254584794662,0.0,1.843807899599996,2.2441793474790326,0.0,0.932044455971832
50,Artificial + monumental,TruthfulQA,5.048501491546631,4.020458232137807,0.0,2.748202577584584,0.5807867631869745,0.0,0.4518290433169952
51,cos + prov,Logic,5.042245864868164,0.5439246639995031,0.0,1.4387597889031256,1.6266849727319432,0.0,0.23578741388247418
52,etc + serv,RedTeaming,5.039572238922119,2.448308779793444,0.0,2.9698256071888522,3.511600207927574,0.0,5.013013809449011
53,ranges + splits,RedTeaming,5.022710800170898,0.5731357691817045,0.0,1.763880315746944,2.5254675878596378,0.0,8.822645876528219
54,res + gener,MMLU,5.020016670227051,0.9908667993266759,0.0,1.1682542753791116,0.09393887374448666,0.0,0.21312328426622512
