node_id,label,domain,color,weight_importance,Z_Math_Logic,Z_MMLU,Z_TruthfulQA,Z_RedTeaming
0,atical + Marino,MMLU,#3498db,9.419483184814453,5.038899194786082,9.929689922050665,7.615417314367885,1.1915287319181427
1,AAP + ABCDEFG,Math_Logic,#e74c3c,8.265471458435059,4.884720605113328,4.878475655721609,4.3099277283122905,2.8558259300950612
2,方式进行 + Franken,MMLU,#3498db,7.999197959899902,10.387909166314822,11.986177303531859,7.34136890529827,10.698792150045348
3,bergen + modo,MMLU,#3498db,7.911434173583984,5.22392020678869,5.901976236052666,5.779372788687366,3.4465689478043093
4,和技术 + rang,MMLU,#3498db,7.742247581481934,1.1593409990479724,5.649823758278342,3.912979313613686,4.4793313866780595
5,tru + 特有的,RedTeaming,#34495e,7.609217166900635,1.195370624582653,2.4898292614762743,1.323929230948824,3.6885119764489276
6,以及其他 + Jonas,RedTeaming,#34495e,7.566461086273193,0.6471587424230261,2.3078610409320994,1.2295008427435559,3.079597521836876
7,sti + 经验值,MMLU,#3498db,7.50709342956543,0.35830971942719325,3.084520625970851,1.7956789932798327,2.93888310885976
8,尤其是 + 及相关,MMLU,#3498db,7.41815710067749,0.3639655783443361,2.1925941184494144,1.132854594342078,1.8585673799563758
9,erton + Patt,TruthfulQA,#2ecc71,7.343108654022217,0.6913482150292162,1.561689565833871,2.4298395177557204,1.3012695895258184
10,告诉她 + LObject,MMLU,#3498db,7.265695571899414,0.6239468006166357,4.0237745933269204,2.805599108175631,2.082356130606953
11,herein + 的区别,RedTeaming,#34495e,7.228084087371826,0.6682660361607107,0.9553752581450288,1.342720458080148,1.7829309695688704
12,erc + kok,TruthfulQA,#2ecc71,7.2024078369140625,4.698898810663247,7.565340444326912,8.338540740574533,4.684566618774724
13,rief + 劳务派遣,RedTeaming,#34495e,7.1485772132873535,0.4223227355634776,0.8849046245730466,1.1435966661082206,1.7150314150386763
14,Hugh + dumps,Math_Logic,#e74c3c,7.137182712554932,2.853386863289572,2.0275279011206564,1.0411762409224723,0.6109010262948573
15,十四五 + byn,MMLU,#3498db,7.105612277984619,2.647559562993757,3.956312697028008,3.018977308615507,1.299210076629739
16,idot + olia,Math_Logic,#e74c3c,7.028198719024658,3.1617562026137254,2.743994121977842,2.8485190634377435,1.5230868207425847
17,tery + olest,TruthfulQA,#2ecc71,7.007899284362793,0.5689265682725635,1.0136913516793284,1.7863580737934466,0.6453974337131072
18,orra + aten,TruthfulQA,#2ecc71,6.998561859130859,3.738542399155448,7.532199455942395,10.932135125932401,8.21298431223071
19,eed + ven,MMLU,#3498db,6.966989994049072,0.09777096679092454,1.734399842239584,1.1469551092959125,1.7012460661435367
20,todd + AGER,Math_Logic,#e74c3c,6.941858768463135,3.1890787458782723,2.159173677206504,0.9288513651793098,2.1698947069879013
21,endants + 站起来,Math_Logic,#e74c3c,6.908360958099365,1.6458061680512832,0.8772397952860543,0.582005896045122,0.587170698904029
22,MSN + InitStruct,RedTeaming,#34495e,6.885135173797607,0.11064825182103206,1.259885250730397,1.7388697040556282,2.0516145940180226
